index,name,category,source,native_width,native_height,print_file,canvas_width,canvas_height,canvas_ppi
00,The Fool,major,raw-fronts/00-the-fool-dark-v2.png,971,1619,print-ready/fronts/00.png,1795,2976,600
01,The Magician,major,raw-fronts/01-the-magician-dark-v2.png,971,1619,print-ready/fronts/01.png,1795,2976,600
02,The High Priestess,major,raw-fronts/02-the-high-priestess-dark-v2.png,972,1619,print-ready/fronts/02.png,1795,2976,600
03,The Empress,major,raw-fronts/03-the-empress-dark-v2.png,971,1619,print-ready/fronts/03.png,1795,2976,600
04,The Emperor,major,raw-fronts/04-the-emperor-dark-v2.png,971,1619,print-ready/fronts/04.png,1795,2976,600
05,The Hierophant,major,raw-fronts/05-the-hierophant-dark-v2.png,971,1619,print-ready/fronts/05.png,1795,2976,600
06,The Lovers,major,raw-fronts/06-the-lovers-dark-v2.png,971,1619,print-ready/fronts/06.png,1795,2976,600
07,The Chariot,major,raw-fronts/07-the-chariot-dark-v2.png,971,1619,print-ready/fronts/07.png,1795,2976,600
08,Strength,major,raw-fronts/08-strength-dark-v2.png,971,1619,print-ready/fronts/08.png,1795,2976,600
09,The Hermit,major,raw-fronts/09-the-hermit-dark-v2.png,972,1619,print-ready/fronts/09.png,1795,2976,600
10,Wheel of Fortune,major,raw-fronts/10-wheel-of-fortune-dark-v2.png,972,1619,print-ready/fronts/10.png,1795,2976,600
11,Justice,major,raw-fronts/11-justice-dark-v2.png,971,1619,print-ready/fronts/11.png,1795,2976,600
12,The Hanged Man,major,raw-fronts/12-the-hanged-man-dark-v2.png,971,1619,print-ready/fronts/12.png,1795,2976,600
13,Death,major,raw-fronts/13-death-dark-v2.png,971,1619,print-ready/fronts/13.png,1795,2976,600
14,Temperance,major,raw-fronts/14-temperance-dark-v2.png,971,1619,print-ready/fronts/14.png,1795,2976,600
15,The Devil,major,raw-fronts/15-the-devil-dark-v2.png,971,1619,print-ready/fronts/15.png,1795,2976,600
16,The Tower,major,raw-fronts/16-the-tower-dark-v2.png,971,1619,print-ready/fronts/16.png,1795,2976,600
17,The Star,major,raw-fronts/17-the-star-dark-v4.png,971,1619,print-ready/fronts/17.png,1795,2976,600
18,The Moon,major,raw-fronts/18-the-moon-dark-v2.png,972,1619,print-ready/fronts/18.png,1795,2976,600
19,The Sun,major,raw-fronts/19-the-sun-dark-v2.png,971,1619,print-ready/fronts/19.png,1795,2976,600
20,Judgement,major,raw-fronts/20-judgement-dark-v2.png,971,1619,print-ready/fronts/20.png,1795,2976,600
21,The World,major,raw-fronts/21-the-world-dark-v2.png,971,1619,print-ready/fronts/21.png,1795,2976,600
22,Ace of Wands,wands,raw-fronts/22-ace-of-wands-dark-v2.png,971,1619,print-ready/fronts/22.png,1795,2976,600
23,Two of Wands,wands,raw-fronts/23-two-of-wands-dark-v3.png,971,1619,print-ready/fronts/23.png,1795,2976,600
24,Three of Wands,wands,raw-fronts/24-three-of-wands-dark-v2.png,971,1619,print-ready/fronts/24.png,1795,2976,600
25,Four of Wands,wands,raw-fronts/25-four-of-wands-dark-v2.png,971,1619,print-ready/fronts/25.png,1795,2976,600
26,Five of Wands,wands,raw-fronts/26-five-of-wands-dark-v2.png,971,1619,print-ready/fronts/26.png,1795,2976,600
27,Six of Wands,wands,raw-fronts/27-six-of-wands-dark-v3.png,971,1620,print-ready/fronts/27.png,1795,2976,600
28,Seven of Wands,wands,raw-fronts/28-seven-of-wands-dark-v2.png,971,1620,print-ready/fronts/28.png,1795,2976,600
29,Eight of Wands,wands,raw-fronts/29-eight-of-wands-dark-v4.png,971,1620,print-ready/fronts/29.png,1795,2976,600
30,Nine of Wands,wands,raw-fronts/30-nine-of-wands-dark-v2.png,971,1619,print-ready/fronts/30.png,1795,2976,600
31,Ten of Wands,wands,raw-fronts/31-ten-of-wands-dark-v2.png,972,1619,print-ready/fronts/31.png,1795,2976,600
32,Page of Wands,wands,raw-fronts/32-page-of-wands-dark-v2.png,971,1619,print-ready/fronts/32.png,1795,2976,600
33,Knight of Wands,wands,raw-fronts/33-knight-of-wands-dark-v2.png,971,1619,print-ready/fronts/33.png,1795,2976,600
34,Queen of Wands,wands,raw-fronts/34-queen-of-wands-dark-v2.png,972,1619,print-ready/fronts/34.png,1795,2976,600
35,King of Wands,wands,raw-fronts/35-king-of-wands-dark-v2.png,971,1619,print-ready/fronts/35.png,1795,2976,600
36,Ace of Cups,cups,raw-fronts/36-ace-of-cups-dark-v2.png,971,1619,print-ready/fronts/36.png,1795,2976,600
